,id,probability,time,image_number,value,classifier,created_at,updated_at,clip_id
102,103,62.641751766204834,,46,spatula,image_classifier_mobilenet,2019-04-09 11:31:22,2019-04-09 11:31:22,15.0
103,104,55.533093214035034,,48,hourglass,image_classifier_mobilenet,2019-04-09 11:31:22,2019-04-09 11:31:22,15.0
104,105,74.49491620063782,,16,"spotlight, spot",image_classifier_mobilenet,2019-04-09 11:31:47,2019-04-09 11:31:47,16.0
105,106,53.82606387138367,,37,"barn spider, Araneus cavaticus",image_classifier_mobilenet,2019-04-09 11:31:47,2019-04-09 11:31:47,16.0
106,107,59.803056716918945,,39,"spider web, spider's web",image_classifier_mobilenet,2019-04-09 11:31:47,2019-04-09 11:31:47,16.0
107,108,83.03196430206299,,47,"prison, prison house",image_classifier_mobilenet,2019-04-09 11:31:47,2019-04-09 11:31:47,16.0
108,109,61.5170955657959,,48,"prison, prison house",image_classifier_mobilenet,2019-04-09 11:31:47,2019-04-09 11:31:47,16.0
109,110,82.68538117408752,,49,"prison, prison house",image_classifier_mobilenet,2019-04-09 11:31:47,2019-04-09 11:31:47,16.0
110,111,78.836590051651,,50,"prison, prison house",image_classifier_mobilenet,2019-04-09 11:31:47,2019-04-09 11:31:47,16.0
111,112,56.917887926101685,,8,"spider web, spider's web",image_classifier_mobilenet,2019-04-09 11:32:16,2019-04-09 11:32:16,
112,113,89.59531784057617,,9,"spider web, spider's web",image_classifier_mobilenet,2019-04-09 11:32:16,2019-04-09 11:32:16,
113,114,74.01987314224243,,23,"spotlight, spot",image_classifier_mobilenet,2019-04-09 11:32:16,2019-04-09 11:32:16,
114,115,91.13652110099792,,24,"spotlight, spot",image_classifier_mobilenet,2019-04-09 11:32:16,2019-04-09 11:32:16,
115,116,66.01847410202026,,26,matchstick,image_classifier_mobilenet,2019-04-09 11:32:16,2019-04-09 11:32:16,
116,117,55.89978098869324,,33,"spider web, spider's web",image_classifier_mobilenet,2019-04-09 11:32:16,2019-04-09 11:32:16,
117,118,60.930418968200684,,34,"spider web, spider's web",image_classifier_mobilenet,2019-04-09 11:32:16,2019-04-09 11:32:16,
118,119,56.148600578308105,,37,"spider web, spider's web",image_classifier_mobilenet,2019-04-09 11:32:16,2019-04-09 11:32:16,
119,120,89.47347402572632,,38,"spider web, spider's web",image_classifier_mobilenet,2019-04-09 11:32:16,2019-04-09 11:32:16,
120,121,75.02171397209167,,39,"spider web, spider's web",image_classifier_mobilenet,2019-04-09 11:32:16,2019-04-09 11:32:16,
121,122,53.474968671798706,,49,rifle,image_classifier_mobilenet,2019-04-09 11:32:16,2019-04-09 11:32:16,
122,123,63.62912654876709,,48,harp,image_classifier_mobilenet,2019-04-09 11:32:32,2019-04-09 11:32:32,
123,124,76.43108367919922,,3,wig,image_classifier_mobilenet,2019-04-09 11:32:50,2019-04-09 11:32:50,
124,125,67.35306978225708,,4,wig,image_classifier_mobilenet,2019-04-09 11:32:50,2019-04-09 11:32:50,
125,126,59.01665687561035,,6,wig,image_classifier_mobilenet,2019-04-09 11:32:50,2019-04-09 11:32:50,
126,127,73.6297607421875,,7,wig,image_classifier_mobilenet,2019-04-09 11:32:50,2019-04-09 11:32:50,
127,128,54.4822096824646,,13,fountain,image_classifier_mobilenet,2019-04-09 11:32:50,2019-04-09 11:32:50,
128,129,56.204742193222046,,8,wig,image_classifier_mobilenet,2019-04-09 11:32:50,2019-04-09 11:32:50,
129,130,50.18547773361206,,18,hair spray,image_classifier_mobilenet,2019-04-09 11:32:50,2019-04-09 11:32:50,
130,131,78.21375131607056,,29,"theater curtain, theatre curtain",image_classifier_mobilenet,2019-04-09 11:32:50,2019-04-09 11:32:50,
131,132,50.48593282699585,,30,"theater curtain, theatre curtain",image_classifier_mobilenet,2019-04-09 11:32:50,2019-04-09 11:32:50,
132,133,62.338173389434814,,33,wig,image_classifier_mobilenet,2019-04-09 11:32:50,2019-04-09 11:32:50,
133,134,54.119402170181274,,49,"streetcar, tram, tramcar, trolley, trolley car",image_classifier_mobilenet,2019-04-09 11:32:50,2019-04-09 11:32:50,
134,135,62.0292067527771,,14,"suit, suit of clothes",image_classifier_mobilenet,2019-04-09 11:33:18,2019-04-09 11:33:18,
135,136,90.39021730422974,,15,"fire screen, fireguard",image_classifier_mobilenet,2019-04-09 11:33:18,2019-04-09 11:33:18,
136,137,77.81548500061035,,25,"fire screen, fireguard",image_classifier_mobilenet,2019-04-09 11:33:18,2019-04-09 11:33:18,
137,138,69.35886740684509,,26,fountain,image_classifier_mobilenet,2019-04-09 11:33:18,2019-04-09 11:33:18,
138,139,96.34770154953003,,28,fountain,image_classifier_mobilenet,2019-04-09 11:33:18,2019-04-09 11:33:18,
139,140,80.98061084747314,,35,"prison, prison house",image_classifier_mobilenet,2019-04-09 11:33:18,2019-04-09 11:33:18,
140,141,55.79496622085571,,37,abaya,image_classifier_mobilenet,2019-04-09 11:33:18,2019-04-09 11:33:18,
141,142,61.22031211853027,,49,shovel,image_classifier_mobilenet,2019-04-09 11:33:18,2019-04-09 11:33:18,
142,143,90.18107056617737,,1,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
143,144,66.77687168121338,,2,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
144,145,94.05578374862671,,4,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
145,146,90.00450372695923,,5,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
146,147,95.12900114059448,,6,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
147,148,81.69479370117188,,7,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
148,149,91.35258197784424,,8,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
149,150,82.95605778694153,,9,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
150,151,79.16394472122192,,10,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
151,152,82.41872787475586,,11,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
152,153,95.38673162460327,,12,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
153,154,91.00276827812195,,13,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
154,155,93.7044620513916,,14,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
155,156,88.86460065841675,,15,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
156,157,88.3306086063385,,16,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
157,158,90.31016826629639,,17,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
158,159,50.1612663269043,,22,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
159,160,76.42459869384766,,23,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
160,161,75.42020678520203,,24,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
161,162,84.9357008934021,,25,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
162,163,94.75650191307068,,26,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
163,164,89.2260193824768,,27,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
164,165,89.78281021118164,,28,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
165,166,80.85760474205017,,29,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
166,167,91.95833206176758,,30,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
167,168,94.23364400863647,,31,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
168,169,90.10129570960999,,32,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
169,170,76.30661725997925,,33,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-09 11:33:20,2019-04-09 11:33:20,13.0
